[RHHBY] valuation=60.5 | quality=67.7 | overall=64.1 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
[2023] RNO: valuation=58.7 | quality=18.8 | overall=38.8 | coverage=56% | missing=ROIC, EPS CAGR, FCF Margin, FCF Conversion
[2023] MCD: valuation=43.4 | quality=53.7 | overall=48.5 | coverage=89% | missing=ROE
[2023] KO: valuation=53.2 | quality=62.0 | overall=57.6 | coverage=100% | missing=none
[2023] DPZ: valuation=85.2 | quality=61.4 | overall=73.3 | coverage=78% | missing=ROIC, ROE
[2023] MO: valuation=12.0 | quality=66.9 | overall=39.5 | coverage=78% | missing=ROE, EPS CAGR
[2023] OXY: valuation=56.5 | quality=85.0 | overall=70.8 | coverage=78% | missing=ROIC, EPS CAGR
[2023] JNJ: valuation=79.3 | quality=70.7 | overall=75.0 | coverage=89% | missing=ROIC
[2023] V: valuation=56.5 | quality=94.0 | overall=75.2 | coverage=100% | missing=none
[2023] MA: valuation=60.2 | quality=92.5 | overall=76.3 | coverage=100% | missing=none
[2023] MSFT: valuation=46.9 | quality=90.3 | overall=68.6 | coverage=100% | missing=none
[2023] GOOGL: valuation=70.8 | quality=95.5 | overall=83.2 | coverage=100% | missing=none
[2023] ASML: valuation=54.4 | quality=95.5 | overall=75.0 | coverage=100% | missing=none
[2023] COST: valuation=15.3 | quality=79.3 | overall=47.3 | coverage=100% | missing=none
[2023] META: valuation=74.5 | quality=70.8 | overall=72.7 | coverage=100% | missing=none
[2023] AMZN: valuation=73.8 | quality=51.4 | overall=62.6 | coverage=67% | missing=ROE, EPS CAGR, FCF Conversion
[2023] ADBE: valuation=64.1 | quality=80.5 | overall=72.3 | coverage=100% | missing=none
[2023] CRM: valuation=69.0 | quality=44.8 | overall=56.9 | coverage=100% | missing=none
[2023] INTU: valuation=46.6 | quality=64.5 | overall=55.5 | coverage=100% | missing=none
[2023] LRCX: valuation=31.2 | quality=89.0 | overall=60.1 | coverage=100% | missing=none
[2023] KLAC: valuation=20.2 | quality=85.3 | overall=52.8 | coverage=89% | missing=ROIC
[2023] TXN: valuation=41.5 | quality=90.5 | overall=66.0 | coverage=100% | missing=none
[2023] PFE: valuation=12.0 | quality=90.0 | overall=51.0 | coverage=89% | missing=ROIC
[2023] MDT: valuation=66.5 | quality=61.0 | overall=63.8 | coverage=100% | missing=none
[2023] SBUX: valuation=53.8 | quality=69.5 | overall=61.6 | coverage=89% | missing=ROE
[2023] NKE: valuation=62.8 | quality=75.3 | overall=69.0 | coverage=89% | missing=ROIC
[2023] LOW: valuation=92.2 | quality=70.5 | overall=81.3 | coverage=89% | missing=ROE
[2023] UNH: valuation=43.3 | quality=72.8 | overall=58.0 | coverage=100% | missing=none
[2023] LIN: valuation=59.7 | quality=65.0 | overall=62.4 | coverage=100% | missing=none
[2023] NVDA: valuation=37.3 | quality=95.5 | overall=66.4 | coverage=100% | missing=none
.[2024] RHHBY: valuation=28.1 | quality=43.2 | overall=35.7 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
[2024] RNO: valuation=12.0 | quality=53.6 | overall=32.8 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
[2024] MCD: valuation=42.4 | quality=61.3 | overall=51.8 | coverage=89% | missing=ROE
[2024] KO: valuation=48.4 | quality=63.8 | overall=56.1 | coverage=100% | missing=none
[2024] DPZ: valuation=84.5 | quality=52.1 | overall=68.3 | coverage=78% | missing=ROIC, ROE
[2024] MO: valuation=80.3 | quality=71.2 | overall=75.8 | coverage=78% | missing=ROE, EPS CAGR
[2024] OXY: valuation=38.7 | quality=65.0 | overall=51.9 | coverage=89% | missing=ROIC
[2024] JNJ: valuation=42.4 | quality=75.0 | overall=58.7 | coverage=89% | missing=ROIC
[2024] V: valuation=53.2 | quality=88.8 | overall=71.0 | coverage=100% | missing=none
[2024] MA: valuation=47.8 | quality=90.3 | overall=69.0 | coverage=100% | missing=none
[2024] MSFT: valuation=41.0 | quality=81.5 | overall=61.2 | coverage=100% | missing=none
[2024] GOOGL: valuation=72.0 | quality=80.0 | overall=76.0 | coverage=100% | missing=none
[2024] ASML: valuation=58.9 | quality=80.5 | overall=69.7 | coverage=100% | missing=none
[2024] COST: valuation=16.0 | quality=77.8 | overall=46.9 | coverage=100% | missing=none
[2024] META: valuation=71.0 | quality=79.3 | overall=75.2 | coverage=100% | missing=none
[2024] AMZN: valuation=77.8 | quality=55.3 | overall=66.5 | coverage=100% | missing=none
[2024] ADBE: valuation=74.3 | quality=86.5 | overall=80.4 | coverage=100% | missing=none
[2024] CRM: valuation=75.7 | quality=54.5 | overall=65.1 | coverage=100% | missing=none
[2024] INTU: valuation=12.0 | quality=74.0 | overall=43.0 | coverage=100% | missing=none
[2024] LRCX: valuation=55.6 | quality=71.3 | overall=63.5 | coverage=100% | missing=none
[2024] KLAC: valuation=34.7 | quality=67.7 | overall=51.2 | coverage=89% | missing=ROIC
[2024] TXN: valuation=16.9 | quality=56.0 | overall=36.5 | coverage=100% | missing=none
[2024] PFE: valuation=48.8 | quality=30.0 | overall=39.4 | coverage=89% | missing=ROIC
[2024] MDT: valuation=68.1 | quality=42.5 | overall=55.3 | coverage=100% | missing=none
[2024] SBUX: valuation=43.2 | quality=57.1 | overall=50.2 | coverage=89% | missing=ROE
[2024] NKE: valuation=70.3 | quality=52.7 | overall=61.5 | coverage=89% | missing=ROIC
[2024] LOW: valuation=64.0 | quality=51.3 | overall=57.6 | coverage=89% | missing=ROE
[2024] UNH: valuation=19.9 | quality=69.8 | overall=44.8 | coverage=100% | missing=none
[2024] LIN: valuation=59.7 | quality=69.0 | overall=64.3 | coverage=100% | missing=none
[2024] NVDA: valuation=37.3 | quality=75.5 | overall=56.4 | coverage=100% | missing=none
.[2025] RHHBY: valuation=59.2 | quality=29.1 | overall=44.2 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
[2025] RNO: valuation=12.0 | quality=31.2 | overall=21.6 | coverage=56% | missing=ROIC, EPS CAGR, FCF Margin, FCF Conversion
[2025] MCD: valuation=41.4 | quality=65.5 | overall=53.5 | coverage=89% | missing=ROE
[2025] KO: valuation=55.2 | quality=48.3 | overall=51.8 | coverage=89% | missing=ROIC
[2025] DPZ: valuation=92.5 | quality=51.4 | overall=72.0 | coverage=78% | missing=ROIC, ROE
[2025] MO: valuation=80.3 | quality=73.7 | overall=77.0 | coverage=89% | missing=ROE
[2025] OXY: valuation=30.6 | quality=37.3 | overall=34.0 | coverage=89% | missing=ROIC
[2025] JNJ: valuation=53.7 | quality=53.0 | overall=53.4 | coverage=89% | missing=ROIC
[2025] V: valuation=46.8 | quality=88.8 | overall=67.8 | coverage=100% | missing=none
[2025] MA: valuation=66.4 | quality=87.3 | overall=76.8 | coverage=100% | missing=none
[2025] MSFT: valuation=62.1 | quality=88.8 | overall=75.5 | coverage=100% | missing=none
[2025] GOOGL: valuation=55.4 | quality=92.5 | overall=74.0 | coverage=100% | missing=none
[2025] ASML: valuation=44.9 | quality=91.8 | overall=68.3 | coverage=100% | missing=none
[2025] COST: valuation=35.1 | quality=77.8 | overall=56.5 | coverage=100% | missing=none
[2025] META: valuation=60.2 | quality=92.5 | overall=76.3 | coverage=100% | missing=none
[2025] AMZN: valuation=77.0 | quality=68.8 | overall=72.9 | coverage=89% | missing=EPS CAGR
[2025] ADBE: valuation=77.6 | quality=89.5 | overall=83.5 | coverage=100% | missing=none
[2025] CRM: valuation=75.7 | quality=72.5 | overall=74.1 | coverage=100% | missing=none
[2025] INTU: valuation=12.0 | quality=80.0 | overall=46.0 | coverage=100% | missing=none
[2025] LRCX: valuation=26.2 | quality=69.8 | overall=48.0 | coverage=100% | missing=none
[2025] KLAC: valuation=15.9 | quality=57.3 | overall=36.6 | coverage=89% | missing=ROIC
[2025] TXN: valuation=27.5 | quality=50.8 | overall=39.1 | coverage=100% | missing=none
[2025] PFE: valuation=38.5 | quality=36.0 | overall=37.2 | coverage=89% | missing=ROIC
[2025] MDT: valuation=61.8 | quality=45.8 | overall=53.8 | coverage=100% | missing=none
[2025] SBUX: valuation=44.4 | quality=53.4 | overall=48.9 | coverage=89% | missing=ROE
[2025] NKE: valuation=46.6 | quality=50.7 | overall=48.7 | coverage=89% | missing=ROIC
[2025] LOW: valuation=71.3 | quality=54.7 | overall=63.0 | coverage=89% | missing=ROE
[2025] UNH: valuation=39.2 | quality=55.5 | overall=47.4 | coverage=100% | missing=none
[2025] LIN: valuation=69.0 | quality=63.0 | overall=66.0 | coverage=100% | missing=none
[2025] NVDA: valuation=66.9 | quality=91.0 | overall=79.0 | coverage=100% | missing=none
.
41 passed in 15.96s
